Produktnummer,Brand,Produkt Navn,Model,Køn,Produkt Beskrivelse DK,Produkt Beskrivelse US, SalgsPris DKK , Kostpris , Pris USD ,Størrelse EU,Størrelse US, Farve ,Materiale,Genanvendelsesgrad, Certificering , Co2 Transport , CO2 PRoduktion , Kontonummer ,,,,,,
KEA-EASE-F-36-H,KEAsneakers,Ease,Relaxed,Kvinde,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,36,5.5,Hvid,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-F-37-H,KEAsneakers,Ease,Relaxed,Kvinde,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,37,6.5,Hvid,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-F-38-H,KEAsneakers,Ease,Relaxed,Kvinde,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,38,7.5,Hvid,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-F-39-H,KEAsneakers,Ease,Relaxed,Kvinde,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,39,8.5,Hvid,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-F-40-H,KEAsneakers,Ease,Relaxed,Kvinde,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,40,9.5,Hvid,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-F-41-H,KEAsneakers,Ease,Relaxed,Kvinde,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,41,10.5,Hvid,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-F-42-H,KEAsneakers,Ease,Relaxed,Kvinde,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,42,11.5,Hvid,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-F-43-H,KEAsneakers,Ease,Relaxed,Kvinde,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,43,12.5,Hvid,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-M-38-S,KEAsneakers,Ease,Relaxed,Mand,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,38,7.5,Sort,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-M-39-S,KEAsneakers,Ease,Relaxed,Mand,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,39,8.5,Sort,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-M-40-S,KEAsneakers,Ease,Relaxed,Mand,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,40,9.5,Sort,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-M-41-S,KEAsneakers,Ease,Relaxed,Mand,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,41,10.5,Sort,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-M-42-S,KEAsneakers,Ease,Relaxed,Mand,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,42,11.5,Sort,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-M-43-S,KEAsneakers,Ease,Relaxed,Mand,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,43,12.5,Sort,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-M-44-S,KEAsneakers,Ease,Relaxed,Mand,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,44,13.5,Sort,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-M-45-S,KEAsneakers,Ease,Relaxed,Mand,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,45,14.5,Sort,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-EASE-M-46-S,KEAsneakers,Ease,Relaxed,Mand,"En bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers er skabt med omtanke for planeten, uden at gå på kompromis med design og kvalitet.","A sustainable sneaker model that blends style and comfort with eco-friendly values. Our EcoEase sneakers are crafted with consideration for the planet, without compromising on design and quality."," 1,800.00 kr. ", 340.00 kr. , $50.00 ,46,15.5,Sort,Læder,70.00%, Leather Working Group ,"0,5 kg","2,0 kg",1010,,,,,,
KEA-FLEX-F-36-G,KEAsneakers,Flex,Sports,Kvinde,"En sporty sneakermodel, der kombinerer energi og bæredygtighed på en enestående måde. Vores EcoFlex-sneakers er skabt til dem, der omfavner en aktiv livsstil og samtidig ønsker at træffe positive valg for miljøet.",A sporty sneaker model that combines energy and sustainability in an exceptional way. Our EcoFlex sneakers are created for those who embrace an active lifestyle while also aiming to make positive choices for the environment.," 1,800.00 kr. ", 340.00 kr. , $50.00 ,36,5.5,Grøn,Tekstil,80.00%, Fair Trade ,"0,5 kg"," 1,5 kg ",1010,,,,,,
KEA-FLEX-F-37-G,KEAsneakers,Flex,Sports,Kvinde,"En sporty sneakermodel, der kombinerer energi og bæredygtighed på en enestående måde. Vores EcoFlex-sneakers er skabt til dem, der omfavner en aktiv livsstil og samtidig ønsker at træffe positive valg for miljøet.",A sporty sneaker model that combines energy and sustainability in an exceptional way. Our EcoFlex sneakers are created for those who embrace an active lifestyle while also aiming to make positive choices for the environment.," 1,800.00 kr. ", 340.00 kr. , $50.00 ,37,6.5,Grøn,Tekstil,80.00%, Fair Trade ,"0,5 kg"," 1,5 kg ",1010,,,,,,
KEA-FLEX-F-38-G,KEAsneakers,Flex,Sports,Kvinde,"En sporty sneakermodel, der kombinerer energi og bæredygtighed på en enestående måde. Vores EcoFlex-sneakers er skabt til dem, der omfavner en aktiv livsstil og samtidig ønsker at træffe positive valg for miljøet.",A sporty sneaker model that combines energy and sustainability in an exceptional way. Our EcoFlex sneakers are created for those who embrace an active lifestyle while also aiming to make positive choices for the environment.," 1,800.00 kr. ", 340.00 kr. , $50.00 ,38,7.5,Grøn,Tekstil,80.00%, Fair Trade ,"0,5 kg"," 1,5 kg ",1010,,,,,,
KEA-FLEX-F-39-G,KEAsneakers,Flex,Sports,Kvinde,"En sporty sneakermodel, der kombinerer energi og bæredygtighed på en enestående måde. Vores EcoFlex-sneakers er skabt til dem, der omfavner en aktiv livsstil og samtidig ønsker at træffe positive valg for miljøet.",A sporty sneaker model that combines energy and sustainability in an exceptional way. Our EcoFlex sneakers are created for those who embrace an active lifestyle while also aiming to make positive choices for the environment.," 1,800.00 kr. ", 340.00 kr. , $50.00 ,39,8.5,Grøn,Tekstil,80.00%, Fair Trade ,"0,5 kg"," 1,5 kg ",1010,,,,,,
KEA-FLEX-F-40-G,KEAsneakers,Flex,Sports,Kvinde,"En sporty sneakermodel, der kombinerer energi og bæredygtighed på en enestående måde. Vores EcoFlex-sneakers er skabt til dem, der omfavner en aktiv livsstil og samtidig ønsker at træffe positive valg for miljøet.",A sporty sneaker model that combines energy and sustainability in an exceptional way. Our EcoFlex sneakers are created for those who embrace an active lifestyle while also aiming to make positive choices for the environment.," 1,800.00 kr. ", 340.00 kr. , $50.00 ,40,9.5,Grøn,Tekstil,80.00%, Fair Trade ,"0,5 kg"," 1,5 kg ",1010,,,,,,
KEA-FLEX-F-41-G,KEAsneakers,Flex,Sports,Kvinde,"En sporty sneakermodel, der kombinerer energi og bæredygtighed på en enestående måde. Vores EcoFlex-sneakers er skabt til dem, der omfavner en aktiv livsstil og samtidig ønsker at træffe positive valg for miljøet.",A sporty sneaker model that combines energy and sustainability in an exceptional way. Our EcoFlex sneakers are created for those who embrace an active lifestyle while also aiming to make positive choices for the environment.," 1,800.00 kr. ", 340.00 kr. , $50.00 ,41,10.5,Grøn,Tekstil,80.00%, Fair Trade ,"0,5 kg"," 1,5 kg ",1010,,,,,,
KEA-FLEX-F-42-G,KEAsneakers,Flex,Sports,Kvinde,"En sporty sneakermodel, der kombinerer energi og bæredygtighed på en enestående måde. Vores EcoFlex-sneakers er skabt til dem, der omfavner en aktiv livsstil og samtidig ønsker at træffe positive valg for miljøet.",A sporty sneaker model that combines energy and sustainability in an exceptional way. Our EcoFlex sneakers are created for those who embrace an active lifestyle while also aiming to make positive choices for the environment.," 1,800.00 kr. ", 340.00 kr. , $50.00 ,42,11.5,Grøn,Tekstil,80.00%, Fair Trade ,"0,5 kg"," 1,5 kg ",1010,,,,,,
KEA-FLEX-F-43-G,KEAsneakers,Flex,Sports,Kvinde,"En sporty sneakermodel, der kombinerer energi og bæredygtighed på en enestående måde. Vores EcoFlex-sneakers er skabt til dem, der omfavner en aktiv livsstil og samtidig ønsker at træffe positive valg for miljøet.",A sporty sneaker model that combines energy and sustainability in an exceptional way. Our EcoFlex sneakers are created for those who embrace an active lifestyle while also aiming to make positive choices for the environment.," 1,800.00 kr. ", 340.00 kr. , $50.00 ,43,12.5,Grøn,Tekstil,80.00%, Fair Trade ,"0,5 kg"," 1,5 kg ",1010,,,,,,
KEA-FLEX-M-38-B,KEAsneakers,Flex,Sports,Mand,"En sporty sneakermodel, der kombinerer energi og bæredygtighed på en enestående måde. Vores EcoFlex-sneakers er skabt til dem, der omfavner en aktiv livsstil og samtidig ønsker at træffe positive valg for miljøet.",A sporty sneaker model that combines energy and sustainability in an exceptional way. Our EcoFlex sneakers are created for those who embrace an active lifestyle while also aiming to make positive choices for the environment.," 1,800.00 kr. ", 340.00 kr. , $50.00 ,38,7.5,Blå,Tekstil,80.00%, Fair Trade ,"0,5 kg"," 1,5 kg ",1010,,,,,,
KEA-FLEX-M-39-B,KEAsneakers,Flex,Sports,Mand,"En sporty sneakermodel, der kombinerer energi og bæredygtighed på en enestående måde. Vores EcoFlex-sneakers er skabt til dem, der omfavner en aktiv livsstil og samtidig ønsker at træffe positive valg for miljøet.",A sporty sneaker model that combines energy and sustainability in an exceptional way. Our EcoFlex sneakers are created for those who embrace an active lifestyle while also aiming to make positive choices for the environment.," 1,800.00 kr. ", 340.00 kr. , $50.00 ,39,8.5,Blå,Tekstil,80.00%, Fair Trade ,"0,5 kg"," 1,5 kg ",1010,,,,,,
KEA-FLEX-M-40-B,KEAsneakers,Flex,Sports,Mand,"En sporty sneakermodel, der kombinerer energi og bæredygtighed på en enestående måde. Vores EcoFlex-sneakers er skabt til dem, der omfavner en aktiv livsstil og samtidig ønsker at træffe positive valg for miljøet.",A sporty sneaker model that combines energy and sustainability in an exceptional way. Our EcoFlex sneakers are created for those who embrace an active lifestyle while also aiming to make positive choices for the environment.," 1,800.00 kr. ", 340.00 kr. , $50.00 ,40,9.5,Blå,Tekstil,80.00%, Fair Trade ,"0,5 kg"," 1,5 kg ",1010,,,,,,
KEA-FLEX-M-41-B,KEAsneakers,Flex,Sports,Mand,"En sporty sneakermodel, der kombinerer energi og bæredygtighed på en enestående måde. Vores EcoFlex-sneakers er skabt til dem, der omfavner en aktiv livsstil og samtidig ønsker at træffe positive valg for miljøet.",A sporty sneaker model that combines energy and sustainability in an exceptional way. Our EcoFlex sneakers are created for those who embrace an active lifestyle while also aiming to make positive choices for the environment.," 1,800.00 kr. ", 340.00 kr. , $50.00 ,41,10.5,Blå,Tekstil,80.00%, Fair Trade ,"0,5 kg"," 1,5 kg ",1010,,,,,,
KEA-FLEX-M-42-B,KEAsneakers,Flex,Sports,Mand,"En sporty sneakermodel, der kombinerer energi og bæredygtighed på en enestående måde. Vores EcoFlex-sneakers er skabt til dem, der omfavner en aktiv livsstil og samtidig ønsker at træffe positive valg for miljøet.",A sporty sneaker model that combines energy and sustainability in an exceptional way. Our EcoFlex sneakers are created for those who embrace an active lifestyle while also aiming to make positive choices for the environment.," 1,800.00 kr. ", 340.00 kr. , $50.00 ,42,11.5,Blå,Tekstil,80.00%, Fair Trade ,"0,5 kg"," 1,5 kg ",1010,,,,,,
KEA-FLEX-M-43-B,KEAsneakers,Flex,Sports,Mand,"En sporty sneakermodel, der kombinerer energi og bæredygtighed på en enestående måde. Vores EcoFlex-sneakers er skabt til dem, der omfavner en aktiv livsstil og samtidig ønsker at træffe positive valg for miljøet.",A sporty sneaker model that combines energy and sustainability in an exceptional way. Our EcoFlex sneakers are created for those who embrace an active lifestyle while also aiming to make positive choices for the environment.," 1,800.00 kr. ", 340.00 kr. , $50.00 ,43,12.5,Blå,Tekstil,80.00%, Fair Trade ,"0,5 kg"," 1,5 kg ",1010,,,,,,
KEA-FLEX-M-44-B,KEAsneakers,Flex,Sports,Mand,"En sporty sneakermodel, der kombinerer energi og bæredygtighed på en enestående måde. Vores EcoFlex-sneakers er skabt til dem, der omfavner en aktiv livsstil og samtidig ønsker at træffe positive valg for miljøet.",A sporty sneaker model that combines energy and sustainability in an exceptional way. Our EcoFlex sneakers are created for those who embrace an active lifestyle while also aiming to make positive choices for the environment.," 1,800.00 kr. ", 340.00 kr. , $50.00 ,44,13.5,Blå,Tekstil,80.00%, Fair Trade ,"0,5 kg"," 1,5 kg ",1010,,,,,,
KEA-FLEX-M-45-B,KEAsneakers,Flex,Sports,Mand,"En sporty sneakermodel, der kombinerer energi og bæredygtighed på en enestående måde. Vores EcoFlex-sneakers er skabt til dem, der omfavner en aktiv livsstil og samtidig ønsker at træffe positive valg for miljøet.",A sporty sneaker model that combines energy and sustainability in an exceptional way. Our EcoFlex sneakers are created for those who embrace an active lifestyle while also aiming to make positive choices for the environment.," 1,800.00 kr. ", 340.00 kr. , $50.00 ,45,14.5,Blå,Tekstil,80.00%, Fair Trade ,"0,5 kg"," 1,5 kg ",1010,,,,,,
KEA-FLEX-M-46-B,KEAsneakers,Flex,Sports,Mand,"En sporty sneakermodel, der kombinerer energi og bæredygtighed på en enestående måde. Vores EcoFlex-sneakers er skabt til dem, der omfavner en aktiv livsstil og samtidig ønsker at træffe positive valg for miljøet.",A sporty sneaker model that combines energy and sustainability in an exceptional way. Our EcoFlex sneakers are created for those who embrace an active lifestyle while also aiming to make positive choices for the environment.," 1,800.00 kr. ", 340.00 kr. , $50.00 ,46,15.5,Blå,Tekstil,80.00%, Fair Trade ,"0,5 kg"," 1,5 kg ",1020,,,,,,
KEA-EASE-F-36-M,KEAsneakers,Ease Plus,Relaxed,Kvinde,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are produced in a new and innovative way, where sustainability is the keyword"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,36,5.5,Hvid,Læder,90.00%, Fair Trade Plus ,"0,3 kg"," 0,7 kg ",1020,,,,,,
KEA-EASE-F-37-M,KEAsneakers,Ease Plus,Relaxed,Kvinde,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are produced in a new and innovative way, where sustainability is the keyword"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,37,6.5,Hvid,Læder,90.00%, Fair Trade Plus ,"0,3 kg"," 0,7 kg ",1020,,,,,,
