Produktnummer,Brand,Produkt Navn,Model,Køn,Produkt Beskrivelse DK,Produkt Beskrivelse US, SalgsPris DKK , Kostpris , Pris USD ,Størrelse EU,Størrelse US, Farve ,Materiale,Genanvendelsesgrad, Certificering , Co2 Transport , CO2 PRoduktion , Kontonummer ,,,,,,
KEA-EASE-F-38-M,KEAsneakers,Ease Plus,Relaxed,Kvinde,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are produced in a new and innovative way, where sustainability is the keyword"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,38,7.5,Hvid,Læder,90.00%, Fair Trade Plus ,"0,3 kg"," 0,7 kg ",1020,,,,,,
KEA-EASE-F-39-M,KEAsneakers,Ease Plus,Relaxed,Kvinde,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are produced in a new and innovative way, where sustainability is the keyword"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,39,8.5,Hvid,Læder,90.00%, Fair Trade Plus ,"0,3 kg"," 0,7 kg ",1020,,,,,,
KEA-EASE-F-40-M,KEAsneakers,Ease Plus,Relaxed,Kvinde,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are produced in a new and innovative way, where sustainability is the keyword"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,40,9.5,Hvid,Læder,90.00%, Fair Trade Plus ,"0,3 kg"," 0,7 kg ",1020,,,,,,
KEA-EASE-F-41-M,KEAsneakers,Ease Plus,Relaxed,Kvinde,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are produced in a new and innovative way, where sustainability is the keyword"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,41,10.5,Hvid,Læder,90.00%, Fair Trade Plus ,"0,3 kg"," 0,7 kg ",1020,,,,,,
KEA-EASE-F-42-M,KEAsneakers,Ease Plus,Relaxed,Kvinde,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are produced in a new and innovative way, where sustainability is the keyword"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,42,11.5,Hvid,Læder,90.00%, Fair Trade Plus ,"0,3 kg"," 0,7 kg ",1020,,,,,,
KEA-EASE-F-43-M,KEAsneakers,Ease Plus,Relaxed,Kvinde,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are produced in a new and innovative way, where sustainability is the keyword"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,43,12.5,Hvid,Læder,90.00%, Fair Trade Plus ,"0,3 kg"," 0,7 kg ",1020,,,,,,
KEA-EASE-M-38-N,KEAsneakers,Ease Plus,Relaxed,Mand,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are produced in a new and innovative way, where sustainability is the keyword"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,38,7.5,Sort,Læder,90.00%, Fair Trade Plus ,"0,3 kg"," 0,7 kg ",1020,,,,,,
KEA-EASE-M-39-N,KEAsneakers,Ease Plus,Relaxed,Mand,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are produced in a new and innovative way, where sustainability is the keyword"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,39,8.5,Sort,Læder,90.00%, Fair Trade Plus ,"0,3 kg"," 0,7 kg ",1020,,,,,,
KEA-EASE-M-40-N,KEAsneakers,Ease Plus,Relaxed,Mand,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are produced in a new and innovative way, where sustainability is the keyword"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,40,9.5,Sort,Læder,90.00%, Fair Trade Plus ,"0,3 kg"," 0,7 kg ",1020,,,,,,
KEA-EASE-M-41-N,KEAsneakers,Ease Plus,Relaxed,Mand,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are produced in a new and innovative way, where sustainability is the keyword"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,41,10.5,Sort,Læder,90.00%, Fair Trade Plus ,"0,3 kg"," 0,7 kg ",1020,,,,,,
KEA-EASE-M-42-N,KEAsneakers,Ease Plus,Relaxed,Mand,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are produced in a new and innovative way, where sustainability is the keyword"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,42,11.5,Sort,Læder,90.00%, Fair Trade Plus ,"0,3 kg"," 0,7 kg ",1020,,,,,,
KEA-EASE-M-43-N,KEAsneakers,Ease Plus,Relaxed,Mand,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are produced in a new and innovative way, where sustainability is the keyword"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,43,12.5,Sort,Læder,90.00%, Fair Trade Plus ,"0,3 kg"," 0,7 kg ",1020,,,,,,
KEA-EASE-M-44-N,KEAsneakers,Ease Plus,Relaxed,Mand,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are produced in a new and innovative way, where sustainability is the keyword"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,44,13.5,Sort,Læder,90.00%, Fair Trade Plus ,"0,3 kg"," 0,7 kg ",1020,,,,,,
KEA-EASE-M-45-N,KEAsneakers,Ease Plus,Relaxed,Mand,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are produced in a new and innovative way, where sustainability is the keyword"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,45,14.5,Sort,Læder,90.00%, Fair Trade Plus ,"0,3 kg"," 0,7 kg ",1020,,,,,,
KEA-EASE-M-46-N,KEAsneakers,Ease Plus,Relaxed,Mand,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er skabt til dem, der omfavner kloden og komfort. Modellen er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are created for those who embrace the globe, comfort and an active lifestyle. The model is produced in a new and innovative way, where sustainability is the key word"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,46,15.5,Sort,Læder,90.00%, Fair Trade Plus ,"0,3 kg"," 0,7 kg ",1020,,,,,,
KEA-FLEX-F-36-O,KEAsneakers,Flex Plus,Sports,Kvinde,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er skabt til dem, der omfavner kloden og komfort. Modellen er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are created for those who embrace the globe, comfort and an active lifestyle. The model is produced in a new and innovative way, where sustainability is the key word"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,36,5.5,Grøn,Tekstil,100.00%, Fair Trade Plus ,"0,3 kg"," 0,5 kg ",1020,,,,,,
KEA-FLEX-F-37-O,KEAsneakers,Flex Plus,Sports,Kvinde,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er skabt til dem, der omfavner kloden og komfort. Modellen er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are created for those who embrace the globe, comfort and an active lifestyle. The model is produced in a new and innovative way, where sustainability is the key word"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,37,6.5,Grøn,Tekstil,100.00%, Fair Trade Plus ,"0,3 kg"," 0,5 kg ",1020,,,,,,
KEA-FLEX-F-38-O,KEAsneakers,Flex Plus,Sports,Kvinde,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er skabt til dem, der omfavner kloden og komfort. Modellen er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are created for those who embrace the globe, comfort and an active lifestyle. The model is produced in a new and innovative way, where sustainability is the key word"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,38,7.5,Grøn,Tekstil,100.00%, Fair Trade Plus ,"0,3 kg"," 0,5 kg ",1020,,,,,,
KEA-FLEX-F-39-O,KEAsneakers,Flex Plus,Sports,Kvinde,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er skabt til dem, der omfavner kloden og komfort. Modellen er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are created for those who embrace the globe, comfort and an active lifestyle. The model is produced in a new and innovative way, where sustainability is the key word"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,39,8.5,Grøn,Tekstil,100.00%, Fair Trade Plus ,"0,3 kg"," 0,5 kg ",1020,,,,,,
KEA-FLEX-F-40-O,KEAsneakers,Flex Plus,Sports,Kvinde,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er skabt til dem, der omfavner kloden og komfort. Modellen er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are created for those who embrace the globe, comfort and an active lifestyle. The model is produced in a new and innovative way, where sustainability is the key word"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,40,9.5,Grøn,Tekstil,100.00%, Fair Trade Plus ,"0,3 kg"," 0,5 kg ",1020,,,,,,
KEA-FLEX-F-41-O,KEAsneakers,Flex Plus,Sports,Kvinde,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er skabt til dem, der omfavner kloden og komfort. Modellen er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are created for those who embrace the globe, comfort and an active lifestyle. The model is produced in a new and innovative way, where sustainability is the key word"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,41,10.5,Grøn,Tekstil,100.00%, Fair Trade Plus ,"0,3 kg"," 0,5 kg ",1020,,,,,,
KEA-FLEX-F-42-O,KEAsneakers,Flex Plus,Sports,Kvinde,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er skabt til dem, der omfavner kloden og komfort. Modellen er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are created for those who embrace the globe, comfort and an active lifestyle. The model is produced in a new and innovative way, where sustainability is the key word"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,42,11.5,Grøn,Tekstil,100.00%, Fair Trade Plus ,"0,3 kg"," 0,5 kg ",1020,,,,,,
KEA-FLEX-F-43-O,KEAsneakers,Flex Plus,Sports,Kvinde,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er skabt til dem, der omfavner kloden og komfort. Modellen er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are created for those who embrace the globe, comfort and an active lifestyle. The model is produced in a new and innovative way, where sustainability is the key word"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,43,12.5,Grøn,Tekstil,100.00%, Fair Trade Plus ,"0,3 kg"," 0,5 kg ",1020,,,,,,
KEA-FLEX-M-38-P,KEAsneakers,Flex Plus,Sports,Mand,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er skabt til dem, der omfavner kloden og komfort. Modellen er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are created for those who embrace the globe, comfort and an active lifestyle. The model is produced in a new and innovative way, where sustainability is the key word"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,38,7.5,Blå,Tekstil,100.00%, Fair Trade Plus ,"0,3 kg"," 0,5 kg ",1020,,,,,,
KEA-FLEX-M-39-P,KEAsneakers,Flex Plus,Sports,Mand,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er skabt til dem, der omfavner kloden og komfort. Modellen er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are created for those who embrace the globe, comfort and an active lifestyle. The model is produced in a new and innovative way, where sustainability is the key word"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,39,8.5,Blå,Tekstil,100.00%, Fair Trade Plus ,"0,3 kg"," 0,5 kg ",1020,,,,,,
KEA-FLEX-M-40-P,KEAsneakers,Flex Plus,Sports,Mand,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er skabt til dem, der omfavner kloden og komfort. Modellen er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are created for those who embrace the globe, comfort and an active lifestyle. The model is produced in a new and innovative way, where sustainability is the key word"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,40,9.5,Blå,Tekstil,100.00%, Fair Trade Plus ,"0,3 kg"," 0,5 kg ",1020,,,,,,
KEA-FLEX-M-41-P,KEAsneakers,Flex Plus,Sports,Mand,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er skabt til dem, der omfavner kloden og komfort. Modellen er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are created for those who embrace the globe, comfort and an active lifestyle. The model is produced in a new and innovative way, where sustainability is the key word"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,41,10.5,Blå,Tekstil,100.00%, Fair Trade Plus ,"0,3 kg"," 0,5 kg ",1020,,,,,,
KEA-FLEX-M-42-P,KEAsneakers,Flex Plus,Sports,Mand,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er skabt til dem, der omfavner kloden og komfort. Modellen er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are created for those who embrace the globe, comfort and an active lifestyle. The model is produced in a new and innovative way, where sustainability is the key word"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,42,11.5,Blå,Tekstil,100.00%, Fair Trade Plus ,"0,3 kg"," 0,5 kg ",1020,,,,,,
KEA-FLEX-M-43-P,KEAsneakers,Flex Plus,Sports,Mand,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er skabt til dem, der omfavner kloden og komfort. Modellen er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are created for those who embrace the globe, comfort and an active lifestyle. The model is produced in a new and innovative way, where sustainability is the key word"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,43,12.5,Blå,Tekstil,100.00%, Fair Trade Plus ,"0,3 kg"," 0,5 kg ",1020,,,,,,
KEA-FLEX-M-44-P,KEAsneakers,Flex Plus,Sports,Mand,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er skabt til dem, der omfavner kloden og komfort. Modellen er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are created for those who embrace the globe, comfort and an active lifestyle. The model is produced in a new and innovative way, where sustainability is the key word"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,44,13.5,Blå,Tekstil,100.00%, Fair Trade Plus ,"0,3 kg"," 0,5 kg ",1020,,,,,,
KEA-FLEX-M-45-P,KEAsneakers,Flex Plus,Sports,Mand,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er skabt til dem, der omfavner kloden og komfort. Modellen er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are created for those who embrace the globe, comfort and an active lifestyle. The model is produced in a new and innovative way, where sustainability is the key word"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,45,14.5,Blå,Tekstil,100.00%, Fair Trade Plus ,"0,3 kg"," 0,5 kg ",1020,,,,,,
KEA-FLEX-M-46-P,KEAsneakers,Flex Plus,Sports,Mand,"En 100 procent bæredygtig sneakermodel, der forener stil og komfort med miljøvenlige værdier. Vores EcoEase-sneakers plus er skabt til dem, der omfavner kloden og komfort. Modellen er produceret på en ny og innovativ måde, hvor bæredygtighed er nøgleordet","A 100 percent sustainable sneaker model that combines style and comfort with environmentally friendly values. Our EcoEase sneakers plus are created for those who embrace the globe, comfort and an active lifestyle. The model is produced in a new and innovative way, where sustainability is the key word"," 1,800.00 kr. ", 400.00 kr. , $59.00 ,46,15.5,Blå,Tekstil,100.00%, Fair Trade Plus ,"0,3 kg"," 0,5 kg ",1020,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
