KundeID,MedarbejderID,Ã…r,Antal timer
K1000,M107,2021,20
K1000,M116,2021,45
K1001,M103,2021,12
K1001,M106,2021,40
K1002,M100,2021,35
K1002,M110,2021,44
K1002,M105,2021,43
K1003,M104,2021,46
K1003,M119,2021,46
K1004,M104,2021,37
K1004,M103,2021,34
K1005,M112,2021,40
K1005,M104,2021,31
K1006,M106,2021,27
K1006,M115,2021,31
K1007,M102,2021,19
K1007,M113,2021,34
K1008,M113,2021,6
K1008,M109,2021,22
K1008,M101,2021,28
K1008,M118,2021,41
K1008,M105,2021,39
K1009,M110,2021,9
K1009,M105,2021,27
K1010,M115,2021,30
K1010,M119,2021,9
K1010,M100,2021,11
K1010,M114,2021,10
K1011,M100,2021,11
K1011,M118,2021,26
K1011,M105,2021,30
K1011,M115,2021,39
K1012,M105,2021,19
K1012,M106,2021,19
K1013,M102,2021,36
K1013,M110,2021,23
K1013,M107,2021,17
K1013,M109,2021,22
K1014,M112,2021,10
K1014,M114,2021,21
K1014,M100,2021,11
K1015,M103,2021,37
K1015,M107,2021,23
K1016,M100,2021,30
K1016,M110,2021,6
K1016,M117,2021,26
K1016,M114,2021,9
K1016,M101,2021,30
K1017,M115,2021,9
K1017,M118,2021,18
K1017,M119,2021,25
K1017,M105,2021,22
K1017,M100,2021,45
K1018,M111,2021,16
K1018,M101,2021,41
K1018,M103,2021,21
K1019,M116,2021,27
K1019,M100,2021,11
K1019,M103,2021,37
K1019,M115,2021,31
K1020,M102,2021,37
K1020,M104,2021,27
K1021,M115,2021,7
K1021,M107,2021,20
K1021,M108,2021,8
K1021,M118,2021,31
K1022,M109,2021,25
K1022,M111,2021,14
K1022,M102,2021,16
K1022,M107,2021,32
K1022,M113,2021,12
K1023,M110,2021,10
K1023,M104,2021,44
K1023,M113,2021,17
K1023,M114,2021,36
K1024,M105,2021,34
K1024,M102,2021,28
K1024,M119,2021,26
K1024,M110,2021,37
K1025,M115,2021,41
K1025,M107,2021,26
K1026,M118,2021,43
K1026,M101,2021,30
K1026,M113,2021,5
K1026,M106,2021,12
K1027,M110,2021,25
K1027,M103,2021,10
K1028,M100,2021,24
K1028,M115,2021,13
K1028,M102,2021,46
K1029,M102,2021,7
K1029,M103,2021,6
K1029,M101,2021,34
K1030,M109,2021,32
K1030,M115,2021,32
K1030,M112,2021,47
K1030,M110,2021,47
K1030,M107,2021,9
K1031,M110,2021,47
K1031,M107,2021,42
K1031,M105,2021,25
K1032,M116,2021,15
K1032,M110,2021,31
K1033,M115,2021,21
K1033,M101,2021,44
K1033,M117,2021,18
K1033,M119,2021,41
K1034,M116,2021,5
K1034,M108,2021,21
K1034,M106,2021,8
K1034,M104,2021,14
K1035,M116,2021,11
K1035,M113,2021,17
K1035,M112,2021,29
K1035,M103,2021,31
K1035,M118,2021,28
K1036,M113,2021,40
K1036,M115,2021,33
K1036,M111,2021,10
K1036,M107,2021,12
K1037,M108,2021,27
K1037,M117,2021,7
K1037,M112,2021,20
K1037,M103,2021,13
K1038,M108,2021,7
K1038,M111,2021,38
K1038,M105,2021,35
K1038,M114,2021,41
K1039,M114,2021,32
K1039,M100,2021,21
K1039,M108,2021,14
K1039,M102,2021,24
K1040,M114,2021,6
K1040,M108,2021,44
K1040,M101,2021,35
K1040,M100,2021,29
K1040,M105,2021,36
K1041,M116,2021,10
K1041,M113,2021,45
K1041,M111,2021,31
K1041,M104,2021,27
K1042,M110,2021,47
K1042,M101,2021,36
K1042,M100,2021,11
K1043,M109,2021,40
K1043,M104,2021,28
K1043,M101,2021,44
K1043,M103,2021,5
K1044,M112,2021,47
K1044,M118,2021,8
K1044,M105,2021,18
K1044,M108,2021,20
K1044,M113,2021,6
K1045,M105,2021,11
K1045,M114,2021,44
K1045,M111,2021,46
K1045,M115,2021,36
K1045,M118,2021,30
K1046,M105,2021,25
K1046,M119,2021,27
K1046,M109,2021,7
K1046,M111,2021,16
K1046,M118,2021,38
K1047,M110,2021,32
K1047,M115,2021,24
K1048,M110,2021,43
K1048,M103,2021,8
K1048,M116,2021,46
K1048,M101,2021,30
K1049,M103,2021,29
K1049,M102,2021,37
K1049,M114,2021,29
K1050,M112,2021,44
K1050,M118,2021,9
K1050,M107,2021,29
K1050,M110,2021,22
K1050,M100,2021,5
K1051,M118,2021,47
K1051,M115,2021,5
K1052,M115,2021,9
K1052,M113,2021,21
K1052,M102,2021,25
K1052,M118,2021,28
K1052,M112,2021,23
K1053,M101,2021,10
K1053,M100,2021,32
K1054,M118,2021,46
K1054,M106,2021,23
K1054,M110,2021,26
K1055,M107,2021,7
K1055,M104,2021,15
K1055,M113,2021,28
K1056,M105,2021,6
K1056,M109,2021,16
K1056,M114,2021,13
K1056,M108,2021,18
K1056,M119,2021,31
K1057,M108,2021,18
K1057,M104,2021,20
K1057,M117,2021,17
K1057,M107,2021,35
K1058,M109,2021,45
K1058,M107,2021,27
K1059,M110,2021,10
K1059,M116,2021,17
K1059,M100,2021,33
K1060,M108,2021,5
K1060,M115,2021,45
K1060,M101,2021,34
K1061,M113,2021,43
K1061,M116,2021,10
K1062,M111,2021,38
K1062,M103,2021,30
K1062,M108,2021,30
K1062,M114,2021,15
K1063,M105,2021,32
K1063,M114,2021,29
K1063,M109,2021,23
K1063,M100,2021,8
K1064,M100,2021,26
K1064,M110,2021,33
K1064,M111,2021,38
K1065,M107,2021,20
K1065,M103,2021,18
K1065,M115,2021,33
K1065,M118,2021,20
K1066,M110,2021,30
K1066,M115,2021,7
K1066,M109,2021,20
K1066,M100,2021,42
K1066,M106,2021,6
K1067,M102,2021,19
K1067,M104,2021,19
K1067,M112,2021,28
K1067,M100,2021,38
K1068,M112,2021,23
K1068,M111,2021,44
K1068,M117,2021,27
K1068,M115,2021,7
K1068,M103,2021,44
K1069,M115,2021,8
K1069,M110,2021,11
K1069,M105,2021,14
K1069,M118,2021,11
K1069,M117,2021,45
K1070,M110,2021,25
K1070,M118,2021,8
K1070,M102,2021,11
K1070,M101,2021,33
K1070,M104,2021,26
K1071,M111,2021,7
K1071,M105,2021,30
K1071,M108,2021,36
K1072,M113,2021,37
K1072,M102,2021,44
K1073,M110,2021,21
K1073,M119,2021,12
K1073,M106,2021,6
K1073,M107,2021,9
K1073,M103,2021,38
K1074,M110,2021,14
K1074,M114,2021,39
K1075,M110,2021,33
K1075,M118,2021,19
K1075,M100,2021,10
K1075,M105,2021,9
K1076,M106,2021,43
K1076,M111,2021,38
K1076,M113,2021,23
K1077,M102,2021,5
K1077,M116,2021,34
K1078,M108,2021,17
K1078,M116,2021,46
K1079,M100,2021,44
K1079,M119,2021,36
K1079,M113,2021,24
K1080,M107,2021,22
K1080,M110,2021,32
K1080,M114,2021,11
K1080,M113,2021,17
K1080,M119,2021,23
K1081,M103,2021,42
K1081,M102,2021,46
K1081,M115,2021,38
K1082,M109,2021,5
K1082,M118,2021,40
K1082,M101,2021,27
K1083,M110,2021,32
K1083,M108,2021,38
K1083,M104,2021,46
K1083,M117,2021,45
K1084,M105,2021,35
K1084,M119,2021,12
K1084,M104,2021,11
K1085,M113,2021,41
K1085,M118,2021,16
K1085,M106,2021,43
K1085,M111,2021,20
K1085,M114,2021,24
K1086,M113,2021,22
K1086,M119,2021,42
K1086,M103,2021,40
K1087,M101,2021,46
K1087,M109,2021,41
K1087,M118,2021,19
K1088,M119,2021,11
K1088,M111,2021,11
K1088,M110,2021,7
K1088,M103,2021,35
K1089,M115,2021,46
K1089,M116,2021,42
K1090,M114,2021,40
K1090,M115,2021,38
K1091,M115,2021,9
K1091,M108,2021,33
K1092,M104,2021,38
K1092,M114,2021,43
K1092,M113,2021,38
K1092,M110,2021,30
K1093,M106,2021,24
K1093,M118,2021,28
K1094,M105,2021,37
K1094,M112,2021,13
K1094,M108,2021,42
K1094,M104,2021,43
K1095,M118,2021,31
K1095,M109,2021,9
K1095,M102,2021,19
K1095,M100,2021,12
K1096,M111,2021,41
K1096,M100,2021,45
K1096,M104,2021,6
K1097,M109,2021,36
K1097,M105,2021,37
K1097,M108,2021,45
K1097,M115,2021,23
K1098,M115,2021,9
K1098,M114,2021,37
K1098,M117,2021,43
K1098,M110,2021,30
K1099,M101,2021,39
K1099,M105,2021,20
K1099,M104,2021,15
K1099,M103,2021,47
K1000,M108,2022,35
K1000,M105,2022,42
K1001,M112,2022,14
K1001,M101,2022,6
K1001,M105,2022,45
K1001,M103,2022,38
K1001,M100,2022,13
K1002,M116,2022,19
K1002,M114,2022,17
K1002,M109,2022,43
K1003,M106,2022,44
K1003,M105,2022,46
K1003,M115,2022,20
K1003,M116,2022,46
K1004,M112,2022,20
K1004,M111,2022,47
K1004,M118,2022,13
K1004,M103,2022,26
K1005,M107,2022,46
K1005,M106,2022,32
K1005,M101,2022,35
K1005,M112,2022,13
K1005,M109,2022,13
K1006,M105,2022,7
K1006,M106,2022,13
K1007,M117,2022,27
K1007,M119,2022,13
K1007,M114,2022,25
K1007,M116,2022,11
K1007,M112,2022,41
K1008,M104,2022,16
K1008,M101,2022,44
K1009,M118,2022,12
K1009,M102,2022,31
K1009,M114,2022,18
K1009,M119,2022,15
K1009,M117,2022,27
K1010,M110,2022,36
K1010,M116,2022,12
K1010,M105,2022,40
K1010,M100,2022,24
K1011,M116,2022,24
K1011,M102,2022,24
K1011,M117,2022,25
K1012,M100,2022,18
K1012,M106,2022,31
K1013,M110,2022,39
K1013,M114,2022,39
K1014,M116,2022,9
K1014,M110,2022,44
K1014,M109,2022,12
K1015,M108,2022,18
K1015,M113,2022,5
K1015,M106,2022,18
K1016,M113,2022,23
K1016,M111,2022,20
K1016,M117,2022,20
K1016,M118,2022,12
K1017,M116,2022,6
K1017,M117,2022,36
K1017,M107,2022,9
K1017,M100,2022,5
K1018,M117,2022,29
K1018,M106,2022,14
K1018,M100,2022,40
K1019,M104,2022,11
K1019,M107,2022,22
K1019,M110,2022,5
K1019,M103,2022,24
K1020,M110,2022,47
K1020,M103,2022,47
K1020,M106,2022,29
K1021,M107,2022,33
K1021,M117,2022,38
K1021,M113,2022,12
K1021,M105,2022,42
K1022,M102,2022,38
K1022,M103,2022,12
K1022,M101,2022,32
K1023,M104,2022,14
K1023,M117,2022,8
K1023,M112,2022,5
K1023,M105,2022,28
K1024,M100,2022,14
K1024,M108,2022,23
K1024,M119,2022,21
K1025,M106,2022,35
K1025,M107,2022,39
K1025,M116,2022,28
K1025,M110,2022,9
K1025,M103,2022,22
K1026,M107,2022,6
K1026,M110,2022,17
K1026,M104,2022,34
K1027,M110,2022,47
K1027,M102,2022,16
K1027,M107,2022,13
K1028,M114,2022,19
K1028,M102,2022,18
K1028,M115,2022,25
K1029,M111,2022,20
K1029,M117,2022,31
K1029,M100,2022,23
K1029,M103,2022,41
K1029,M106,2022,24
K1030,M109,2022,24
K1030,M114,2022,27
K1030,M108,2022,29
K1030,M103,2022,13
K1030,M111,2022,38
K1031,M119,2022,12
K1031,M108,2022,37
K1031,M110,2022,19
K1031,M102,2022,14
K1031,M105,2022,21
K1032,M103,2022,37
K1032,M115,2022,15
K1032,M108,2022,37
K1032,M109,2022,25
K1033,M103,2022,35
K1033,M108,2022,10
K1033,M117,2022,25
K1034,M115,2022,22
K1034,M118,2022,30
K1034,M111,2022,12
K1035,M112,2022,14
K1035,M102,2022,31
K1035,M101,2022,38
K1036,M119,2022,38
K1036,M116,2022,27
K1037,M104,2022,43
K1037,M105,2022,8
K1037,M106,2022,45
K1037,M101,2022,35
K1038,M101,2022,15
K1038,M116,2022,46
K1038,M107,2022,32
K1038,M111,2022,5
K1039,M112,2022,15
K1039,M105,2022,18
K1040,M101,2022,45
K1040,M119,2022,15
K1040,M109,2022,19
K1040,M114,2022,28
K1041,M110,2022,26
K1041,M105,2022,8
K1041,M103,2022,46
K1041,M109,2022,18
K1042,M113,2022,6
K1042,M102,2022,42
K1042,M116,2022,25
K1043,M105,2022,33
K1043,M114,2022,27
K1044,M101,2022,35
K1044,M108,2022,12
K1044,M104,2022,24
K1044,M118,2022,33
K1044,M103,2022,13
K1045,M104,2022,41
K1045,M106,2022,13
K1045,M112,2022,22
K1046,M110,2022,11
K1046,M103,2022,30
K1046,M108,2022,32
K1046,M118,2022,6
K1047,M102,2022,11
K1047,M115,2022,29
K1047,M106,2022,31
K1048,M105,2022,42
K1048,M111,2022,46
K1048,M118,2022,21
K1048,M102,2022,30
K1048,M109,2022,29
K1049,M107,2022,25
K1049,M110,2022,46
K1049,M108,2022,5
K1049,M109,2022,30
K1049,M102,2022,24
K1050,M112,2022,35
K1050,M108,2022,17
K1051,M118,2022,46
K1051,M101,2022,28
K1052,M102,2022,37
K1052,M103,2022,24
K1052,M113,2022,41
K1053,M100,2022,16
K1053,M104,2022,36
K1053,M119,2022,36
K1053,M112,2022,12
K1054,M113,2022,16
K1054,M101,2022,11
K1054,M107,2022,32
K1055,M112,2022,7
K1055,M118,2022,29
K1055,M117,2022,6
K1055,M109,2022,44
K1056,M108,2022,6
K1056,M105,2022,10
K1056,M103,2022,43
K1056,M104,2022,12
K1057,M104,2022,15
K1057,M113,2022,26
K1058,M105,2022,26
K1058,M103,2022,39
K1058,M107,2022,26
K1059,M113,2022,34
K1059,M105,2022,10
K1060,M117,2022,47
K1060,M104,2022,38
K1060,M113,2022,45
K1060,M110,2022,25
K1060,M103,2022,35
K1061,M100,2022,13
K1061,M109,2022,17
K1061,M102,2022,29
K1062,M119,2022,47
K1062,M104,2022,11
K1062,M114,2022,9
K1062,M103,2022,5
K1062,M112,2022,18
K1063,M110,2022,20
K1063,M103,2022,46
K1063,M111,2022,21
K1064,M118,2022,46
K1064,M107,2022,45
K1064,M105,2022,47
K1064,M111,2022,28
K1064,M117,2022,15
K1065,M100,2022,38
K1065,M117,2022,9
K1065,M116,2022,6
K1066,M108,2022,14
K1066,M105,2022,5
K1066,M103,2022,13
K1067,M112,2022,5
K1067,M116,2022,13
K1067,M115,2022,24
K1068,M107,2022,21
K1068,M114,2022,25
K1068,M112,2022,9
K1069,M109,2022,26
K1069,M114,2022,46
K1070,M110,2022,40
K1070,M106,2022,38
K1071,M110,2022,18
K1071,M112,2022,19
K1071,M115,2022,27
K1072,M119,2022,18
K1072,M100,2022,29
K1072,M103,2022,35
K1073,M119,2022,6
K1073,M105,2022,30
K1073,M101,2022,6
K1073,M112,2022,19
K1073,M115,2022,7
K1074,M117,2022,34
K1074,M118,2022,30
K1074,M106,2022,28
K1075,M116,2022,36
K1075,M115,2022,22
K1075,M113,2022,7
K1075,M100,2022,18
K1075,M117,2022,5
K1076,M111,2022,25
K1076,M110,2022,20
K1076,M106,2022,32
K1076,M113,2022,12
K1076,M118,2022,10
K1077,M106,2022,7
K1077,M112,2022,43
K1078,M113,2022,19
K1078,M114,2022,37
K1078,M101,2022,13
K1079,M100,2022,6
K1079,M118,2022,10
K1079,M110,2022,26
K1080,M113,2022,19
K1080,M117,2022,44
K1080,M119,2022,40
K1081,M119,2022,42
K1081,M104,2022,39
K1081,M108,2022,42
K1081,M114,2022,15
K1082,M105,2022,18
K1082,M100,2022,22
K1083,M114,2022,39
K1083,M118,2022,12
K1084,M100,2022,24
K1084,M110,2022,18
K1084,M119,2022,6
K1084,M114,2022,44
K1084,M118,2022,43
K1085,M101,2022,45
K1085,M117,2022,43
K1086,M105,2022,17
K1086,M117,2022,5
K1086,M112,2022,6
K1086,M107,2022,46
K1086,M109,2022,25
K1087,M119,2022,36
K1087,M107,2022,13
K1087,M100,2022,29
K1088,M105,2022,34
K1088,M110,2022,5
K1089,M114,2022,15
K1089,M104,2022,25
K1089,M101,2022,40
K1090,M107,2022,46
K1090,M104,2022,16
K1090,M119,2022,14
K1091,M113,2022,21
K1091,M110,2022,42
K1091,M104,2022,32
K1091,M111,2022,12
K1091,M102,2022,39
K1092,M111,2022,36
K1092,M112,2022,13
K1092,M113,2022,22
K1092,M117,2022,41
K1092,M105,2022,31
K1093,M104,2022,25
K1093,M108,2022,8
K1093,M119,2022,12
K1094,M102,2022,34
K1094,M119,2022,32
K1094,M114,2022,29
K1095,M105,2022,31
K1095,M107,2022,28
K1095,M100,2022,16
K1096,M106,2022,34
K1096,M105,2022,29
K1097,M103,2022,23
K1097,M117,2022,13
K1097,M105,2022,33
K1098,M115,2022,11
K1098,M111,2022,5
K1098,M119,2022,28
K1098,M112,2022,24
K1099,M115,2022,41
K1099,M105,2022,43
K1099,M112,2022,33
K1099,M101,2022,34
K1099,M102,2022,17
K1000,M103,2023,47
K1000,M101,2023,17
K1000,M119,2023,31
K1001,M110,2023,47
K1001,M109,2023,46
K1001,M103,2023,26
K1001,M104,2023,21
K1001,M102,2023,27
K1002,M115,2023,21
K1002,M106,2023,29
K1002,M113,2023,5
K1002,M101,2023,25
K1003,M109,2023,38
K1003,M103,2023,8
K1003,M106,2023,5
K1004,M106,2023,12
K1004,M112,2023,34
K1005,M117,2023,42
K1005,M113,2023,6
K1006,M102,2023,5
K1006,M105,2023,9
K1006,M108,2023,18
K1006,M114,2023,39
K1006,M110,2023,42
K1007,M100,2023,12
K1007,M109,2023,46
K1007,M107,2023,23
K1008,M114,2023,5
K1008,M117,2023,38
K1008,M112,2023,17
K1008,M119,2023,7
K1008,M102,2023,20
K1009,M112,2023,37
K1009,M103,2023,31
K1010,M103,2023,21
K1010,M112,2023,10
K1011,M105,2023,27
K1011,M102,2023,32
K1011,M103,2023,16
K1011,M118,2023,16
K1011,M100,2023,33
K1012,M117,2023,39
K1012,M108,2023,27
K1013,M104,2023,39
K1013,M116,2023,32
K1014,M115,2023,12
K1014,M113,2023,42
K1014,M118,2023,13
K1015,M100,2023,41
K1015,M111,2023,29
K1016,M111,2023,39
K1016,M103,2023,30
K1016,M110,2023,45
K1017,M112,2023,25
K1017,M106,2023,23
K1017,M118,2023,31
K1017,M104,2023,8
K1017,M117,2023,35
K1018,M102,2023,19
K1018,M119,2023,36
K1018,M111,2023,7
K1019,M110,2023,9
K1019,M100,2023,17
K1019,M109,2023,36
K1019,M105,2023,9
K1020,M116,2023,30
K1020,M102,2023,17
K1020,M111,2023,19
K1020,M103,2023,7
K1021,M102,2023,10
K1021,M103,2023,6
K1021,M114,2023,7
K1021,M101,2023,34
K1021,M115,2023,10
K1022,M103,2023,37
K1022,M104,2023,21
K1022,M115,2023,14
K1022,M100,2023,9
K1022,M119,2023,11
K1023,M114,2023,34
K1023,M116,2023,45
K1023,M109,2023,35
K1024,M117,2023,5
K1024,M113,2023,19
K1024,M115,2023,16
K1024,M118,2023,11
K1025,M111,2023,41
K1025,M118,2023,36
K1026,M114,2023,28
K1026,M115,2023,43
K1026,M101,2023,41
K1026,M113,2023,24
K1026,M106,2023,43
K1027,M113,2023,20
K1027,M114,2023,34
K1027,M103,2023,5
K1027,M104,2023,15
K1027,M100,2023,12
K1028,M108,2023,22
K1028,M114,2023,44
K1028,M117,2023,36
K1028,M103,2023,15
K1028,M113,2023,41
K1029,M115,2023,9
K1029,M112,2023,5
K1029,M119,2023,21
K1030,M106,2023,20
K1030,M104,2023,44
K1031,M117,2023,10
K1031,M112,2023,37
K1031,M108,2023,20
K1031,M111,2023,46
K1031,M103,2023,22
K1032,M118,2023,27
K1032,M116,2023,33
K1032,M115,2023,23
K1033,M105,2023,45
K1033,M115,2023,10
K1034,M116,2023,40
K1034,M111,2023,26
K1035,M118,2023,19
K1035,M108,2023,19
K1035,M113,2023,14
K1035,M104,2023,41
K1035,M115,2023,12
K1036,M104,2023,46
K1036,M116,2023,15
K1036,M117,2023,35
K1036,M106,2023,31
K1036,M102,2023,38
K1037,M107,2023,23
K1037,M117,2023,41
K1037,M103,2023,26
K1037,M106,2023,15
K1038,M111,2023,19
K1038,M113,2023,29
K1038,M102,2023,41
K1038,M114,2023,47
K1038,M112,2023,40
K1039,M119,2023,41
K1039,M115,2023,23
K1039,M108,2023,17
K1039,M112,2023,42
K1040,M119,2023,7
K1040,M114,2023,23
K1040,M107,2023,20
K1041,M106,2023,7
K1041,M118,2023,23
K1041,M115,2023,31
K1041,M113,2023,30
K1042,M117,2023,46
K1042,M103,2023,24
K1043,M118,2023,16
K1043,M119,2023,32
K1043,M115,2023,12
K1043,M107,2023,32
K1043,M103,2023,47
K1044,M110,2023,47
K1044,M115,2023,24
K1044,M105,2023,27
K1044,M103,2023,29
K1045,M102,2023,7
K1045,M116,2023,11
K1046,M116,2023,12
K1046,M107,2023,6
K1046,M113,2023,6
K1046,M118,2023,32
K1046,M117,2023,45
K1047,M101,2023,36
K1047,M106,2023,19
K1047,M105,2023,27
K1048,M115,2023,23
K1048,M119,2023,29
K1049,M111,2023,42
K1049,M114,2023,42
K1049,M100,2023,21
K1049,M115,2023,20
K1049,M105,2023,24
K1050,M106,2023,18
K1050,M108,2023,39
K1050,M104,2023,34
K1050,M107,2023,47
K1051,M104,2023,11
K1051,M108,2023,42
K1051,M119,2023,5
K1052,M116,2023,36
K1052,M106,2023,43
K1053,M106,2023,33
K1053,M109,2023,20
K1053,M103,2023,8
K1053,M108,2023,17
K1054,M105,2023,40
K1054,M100,2023,24
K1055,M118,2023,15
K1055,M105,2023,17
K1055,M106,2023,14
K1055,M100,2023,20
K1056,M105,2023,27
K1056,M107,2023,31
K1056,M109,2023,22
K1056,M104,2023,6
K1057,M102,2023,17
K1057,M106,2023,38
K1057,M103,2023,43
K1057,M104,2023,29
K1057,M110,2023,31
K1058,M109,2023,13
K1058,M119,2023,33
K1058,M102,2023,11
K1059,M105,2023,46
K1059,M101,2023,20
K1059,M113,2023,43
K1059,M112,2023,44
K1060,M113,2023,11
K1060,M106,2023,43
K1060,M105,2023,7
K1061,M119,2023,41
K1061,M101,2023,20
K1061,M103,2023,23
K1061,M114,2023,21
K1062,M117,2023,8
K1062,M114,2023,38
K1062,M102,2023,25
K1063,M107,2023,6
K1063,M112,2023,27
K1064,M105,2023,32
K1064,M118,2023,5
K1065,M113,2023,35
K1065,M119,2023,14
K1065,M117,2023,22
K1065,M115,2023,14
K1066,M106,2023,13
K1066,M105,2023,7
K1066,M103,2023,29
K1066,M109,2023,26
K1066,M118,2023,35
K1067,M110,2023,29
K1067,M111,2023,34
K1067,M101,2023,36
K1068,M113,2023,28
K1068,M107,2023,26
K1068,M109,2023,34
K1068,M104,2023,9
K1069,M105,2023,18
K1069,M100,2023,16
K1069,M108,2023,8
K1070,M105,2023,11
K1070,M110,2023,35
K1071,M113,2023,24
K1071,M111,2023,10
K1072,M102,2023,44
K1072,M107,2023,26
K1072,M111,2023,11
K1073,M102,2023,44
K1073,M101,2023,22
K1073,M110,2023,18
K1074,M102,2023,26
K1074,M105,2023,39
K1074,M119,2023,23
K1074,M116,2023,40
K1075,M103,2023,21
K1075,M109,2023,44
K1075,M104,2023,31
K1075,M108,2023,13
K1075,M107,2023,5
K1076,M116,2023,25
K1076,M105,2023,27
K1076,M113,2023,46
K1077,M113,2023,45
K1077,M111,2023,41
K1077,M108,2023,37
K1077,M100,2023,7
K1077,M101,2023,37
K1078,M103,2023,44
K1078,M113,2023,29
K1078,M112,2023,6
K1079,M109,2023,37
K1079,M116,2023,24
K1079,M105,2023,19
K1079,M106,2023,20
K1080,M117,2023,21
K1080,M101,2023,16
K1081,M102,2023,36
K1081,M114,2023,14
K1081,M117,2023,16
K1082,M106,2023,5
K1082,M104,2023,37
K1083,M106,2023,6
K1083,M116,2023,35
K1083,M113,2023,31
K1084,M106,2023,20
K1084,M118,2023,5
K1084,M110,2023,10
K1085,M111,2023,40
K1085,M101,2023,11
K1085,M100,2023,42
K1086,M115,2023,26
K1086,M109,2023,7
K1086,M116,2023,5
K1086,M100,2023,13
K1086,M119,2023,28
K1087,M105,2023,39
K1087,M102,2023,18
K1087,M107,2023,40
K1087,M114,2023,32
K1087,M119,2023,37
K1088,M116,2023,41
K1088,M110,2023,21
K1088,M112,2023,22
K1088,M101,2023,18
K1089,M107,2023,14
K1089,M105,2023,32
K1090,M116,2023,37
K1090,M100,2023,28
K1090,M115,2023,34
K1090,M108,2023,41
K1091,M119,2023,26
K1091,M116,2023,21
K1091,M103,2023,36
K1091,M106,2023,23
K1091,M105,2023,47
K1092,M100,2023,9
K1092,M114,2023,17
K1092,M101,2023,40
K1092,M110,2023,32
K1093,M118,2023,18
K1093,M116,2023,42
K1093,M104,2023,41
K1093,M100,2023,22
K1094,M102,2023,16
K1094,M118,2023,31
K1094,M103,2023,10
K1094,M108,2023,27
K1095,M119,2023,8
K1095,M107,2023,34
K1096,M119,2023,25
K1096,M101,2023,33
K1096,M117,2023,42
K1097,M100,2023,19
K1097,M101,2023,5
K1098,M108,2023,31
K1098,M104,2023,41
K1099,M105,2023,47
K1099,M118,2023,20
K1099,M111,2023,8
K1099,M114,2023,30
K1099,M102,2023,46
